time,traffic_volume
0,88.0
1,88.03334061139786
2,83.9654221829257
3,121.69600760684489
4,96.12689332607891
5,118.16290042963092
6,144.71283522249922
7,132.69040957577351
8,144.01511176850352
9,138.61301903258072
10,144.41754360022298
11,162.37010472475913
12,178.4207198925089
13,185.52850925909593
14,171.6621082192937
15,151.79998394664455
16,170.93065270825167
17,150.05279576154928
18,170.17527266338982
19,187.31703185712996
20,169.5069194400935
21,172.78338804137866
22,131.19410874808932
23,143.79548999653048
24,148.65210828384022
25,119.83605644546255
26,121.42621607581177
27,134.50746143504438
28,106.1698028763158
29,120.50747843827254
30,88.61800277066122
31,93.60118299154004
32,69.55811140831382
33,47.59014526830934
34,36.79788383550922
35,59.28015311704761
36,47.133008485867585
37,-2.5512347346725406
38,23.31506705934421
39,-14.185998769275542
40,-6.978729545498041
41,-24.994571292822698
42,-0.17281059754841976
43,-25.46118734407446
44,-42.816422137354536
45,-24.204653089622227
46,-36.60177756322362
47,-0.9936954206018385
48,-41.376451326491875
49,-22.75627466617587
50,-44.14951667693332
51,-22.582485427172116
52,-10.09118030867279
53,14.27907127848161
54,-19.525928618378643
55,24.431298475091708
56,-3.9194615565179305
57,43.344593200438766
58,40.14005979149896
59,28.37817211804066
60,40.9656967874554
61,69.80587404839456
62,93.79939431493004
63,93.84540042429782
64,67.84250551318267
65,75.68981623987645
66,89.28795102569
67,134.5400430392661
68,105.35271780141883
69,138.63703554426186
70,135.30938881409577
71,150.29234625921657
72,174.51543408692328
73,169.91584730306025
74,150.43908355608306
75,180.03949318873146
76,160.6807399460469
77,179.33616769015237
78,196.98906942081382
79,163.63285588676024
80,155.27112208609282
81,158.91761098464468
82,164.59607481845433
83,177.34003538012377
84,153.19244570831353
85,142.20525659468905
86,164.4388922832432
87,129.96164065336967
88,150.8489640411171
89,119.1827376539911
90,112.0504232654173
91,101.54418652815221
92,111.75996681494064
93,97.7965089738257
94,75.75436676988441
95,51.73488807091009
96,71.83919201880684
97,18.167148509344262
98,32.81637027962376
99,5.881227775367385
100,-0.5481032597592872
101,6.6134481391817275
102,-23.55501039953745
103,13.018867041269871
104,-28.60006546579639
105,-17.35510021661291
106,-34.19824818418809
107,-31.090723336197584
108,-42.0033340735435
109,-15.916777839439447
110,-15.821835925751017
111,-16.71946651055623
112,-42.6207949879674
113,-2.5470016878079207
114,-1.5291081183059987
115,5.3923361109013115
116,-1.832337474199221
117,-16.261414945052678
118,-6.961211732593966
119,-0.005403354956065698
120,12.525718134704348
121,43.546054476145216
122,51.96457012770445
123,76.6862110202723
124,61.6128638672706
125,72.64434634903724
126,95.67941817842174
127,103.61680284365937
128,122.35620971683323
129,127.79934621254458
130,118.85090978182669
131,132.41954972984655
132,148.41878915048352
133,121.76789767338575
134,162.39270621551785
135,170.2263555145184
136,185.2099708894776
137,156.2932564192766
138,148.43500254188848
139,148.60350195181923
140,153.77686959834517
141,174.94326355504285
142,162.1010045315395
143,185.25859282134104
144,170.43462251469577
145,148.6575938422793
146,149.96562554357672
147,144.4060701628131
148,149.03503615496516
149,157.9168216248815
150,121.1232654143619
151,131.7330220861901
152,129.8307681221673
153,130.5063473463985
154,103.85386419843857
155,65.97073400721723
156,81.95669985062187
157,78.91282592284227
158,54.94047756867167
159,61.14029827851894
160,57.61119396855982
161,18.449334796932483
162,37.74718458990061
163,15.592567673269919
164,15.067782526825056
165,-14.75122879297706
166,-1.7956470796682282
167,-32.00447051780209
168,-21.32513032888079
169,-18.71402130891265
170,-47.13694190328587
171,-8.569439377605022
172,-5.997056600942074
173,-44.41547795089919
174,-20.830572867974098
175,-18.25833661966533
176,1.275271127859213
177,5.734588301352687
178,-12.925389668744458
179,3.2414443493218528
180,-8.827146910767581
181,15.798883001004356
182,21.042570240112816
183,43.82071740629428
184,47.04473319299337
185,24.62152647348681
186,60.45444580034861
187,56.444254836577215
188,94.49013387409482
189,66.49069733202714
190,112.34501696592167
191,88.95364046140432
192,100.2195951323776
193,128.04936659417064
194,118.35384253463178
195,154.0492120583744
196,157.0578115277733
197,172.30890836425903
198,179.73941489959543
199,164.29452507276278
